Authors, Year, Experiment, CGn, EGn, PP, LVS, ToV, SRd, STd, SRv, STv, CLd, CLv, SRSTcov, SRSTcov1, SRSTcovC 
Sch?ler,2013,02a,21.000,21.000,1,0,1,0.197247128709011,0.378571816925781,0.0957012670212374,0.096944245482982,NA,NA,0,0.0961269548083186,0.0478412387020797
Sch?ler,2013,02b,20.000,20.000,0,0,1,0.310955439343977,0.195933300157022,0.10120866606572,0.10047987322638,NA,NA,0,0.100761581567906,0.0501903953919764
Sch?ler,2012,01,23.000,25.000,1,0,0,0.796009764069278,-0.326601999734851,0.0908971495180195,0.0845893948928027,NA,NA,0,0.0807698918671511,0.0410619729667878
Seufert,2009,01,17.000,17.000,0,0,0,0.317245350749059,0.822274914233107,0.119127126655469,0.127590235802604,NA,NA,0,0.121483219023206,0.0597830547558016
Seufert,2009,02,40.000,38.000,1,0,0,0.592641510874797,0.176249313570699,0.0535672251173506,0.051802547666487,NA,NA,0,0.0519855683300332,0.0258253920825083
Shih,1996,01,44.000,47.000,0,NA,1,-0.179418718170693,NA,0.0441807425182723,NA,NA,NA,NA,NA,NA
Stiller,2009,01a,29.000,28.000,1,0,0,0.367152286983736,0.315891305272436,0.0720687361483915,0.0710723716748588,-0.136219474642259,0.0703598140303421,0,0.0712143703085005,0.0353533425771251
Stiller,2009,01b,25.000,28.000,0,0,0,-0.204752496824983,0.0855582070304186,0.0761409256403071,0.0757833442689108,-0.254174440087758,0.0764529931406042,0,0.0755487334291194,0.0378156833572798
Tabbers,2004,01a,30.000,27.000,0,0,0,-0.821135444919503,-0.624584084353968,0.0762849617642576,0.0737923464969342,-0.412448849847561,0.0718625989119543,0,0.0748688432455758,0.0363097108113939
Tabbers,2004,01b,26.000,28.000,0,1,0,-0.562210692955936,-0.343992342592623,0.0771024988357685,0.0752714790995497,-0.31009320761851,0.0750661741518531,0,0.0759667053083383,0.0375356763270846
Tindall-Ford,1997,01,10.000,10.000,1,0,0,0.107602108431918,1.10396707120694,0.202787116888802,0.236655850769731,NA,NA,0,0.202969729612532,0.100742432403133
Tindall-Ford,1997,02,11.000,11.000,1,0,0,1.47732111780824,1.25296100452883,0.241852668873946,0.217556818181818,-1.06211349185086,0.209870635837251,0,0.223886767085924,0.101426191771481
Tindall-Ford,1997,03,12.000,12.000,1,0,0,0.0506079364258722,0.585559624468289,0.168821763927536,0.176739083748772,-0.283386015802212,0.174099553878414,0,0.16728437425518,0.083487343563795
van den Broek,2014,01,41.000,43.000,0,1,0,-0.117276484861098,0.284081514542865,0.0477279255577212,0.0481264287303616,NA,NA,0,0.0474476899914309,0.0237734224978577
Winslow,2012,01,24.000,21.000,0,0,1,0.170538970032808,0.87343119542435,0.0896088647334903,0.0977621815428299,NA,NA,0,0.0909410450718021,0.0450567612679505
Atkinson,2002,01a,10.000,10.000,0,1,0,NA,0.467429120067402,NA,0.205923692012793,NA,NA,NA,NA,NA
Atkinson,2002,01b,10.000,10.000,0,1,0,NA,0.586296598423811,NA,0.210621339583104,NA,NA,NA,NA,NA
Atkinson,2002,02,25.000,25.000,0,1,0,NA,0.263238248421543,NA,0.0807973548417031,NA,NA,NA,NA,NA
Moreno,2001,04a,15.000,17.000,0,1,1,0.595183888459234,0.593819622984539,0.131025256407829,0.130999910838455,NA,NA,0,0.131012373003927,0.0641255932509818
Moreno,2001,04b,16.000,16.000,0,1,1,1.05014500492835,1.57351626337595,0.142231320802749,0.163686772361072,NA,NA,0,0.150819066314965,0.0689547665787413
Moreno,2001,05b,21.000,20.000,0,1,1,0.592696018978484,1.69734716307391,0.101903054581401,0.132753040204353,NA,NA,0,0.109887425687541,0.0518771064218852
