ExperimentID,ID,CGn,EGn,CGm,CGSD,EGm,EGSD,Type,d,Vd,SEd,Jdf,g,Vg,SEg
56,80,20,20,36.93,10.778,43.39,10.733,ST,0.600621623,0.104509329,0.323279027,0.98013245,0.588688743,0.100397892,0.316856265
57,81,21,21,8.57,3.23,8.33,2.71,SR,-0.080500208,0.095315241,0.308731666,0.981132075,-0.078981336,0.091752372,0.30290654
57,82,21,21,4.33,2.06,3.81,1.94,ST,-0.259883079,0.096042134,0.309906653,0.981132075,-0.254979625,0.092452093,0.304059358
58,83,26,26,6.54,2.22,8.43,2.56,ST,0.78880205,0.082905853,0.287933764,0.984924623,0.776910562,0.08042502,0.283593054
59,84,38,40,0.52,0.19,0.69,0.18,SR,0.919237037,0.056732435,0.238185716,0.99009901,0.91013568,0.055614582,0.235827441
59,85,38,40,0.77,0.22,0.87,0.16,SR,0.521995751,0.053062453,0.230352889,0.99009901,0.516827476,0.052016913,0.228072167
59,86,38,40,0.28,0.19,0.6,0.24,ST,1.473967547,0.065242586,0.255426284,0.99009901,1.459373809,0.06395705,0.252897311
60,87,34,34,0.58,0.21,0.68,0.19,SR,0.499376169,0.060657181,0.246286785,0.988593156,0.493679863,0.059281259,0.24347743
60,88,34,34,0.66,0.26,0.8,0.26,SR,0.538461538,0.060955447,0.24689157,0.988593156,0.532319392,0.05957276,0.244075316
60,89,34,34,0.39,0.17,0.55,0.24,ST,0.769355259,0.063175791,0.251347947,0.988593156,0.760579343,0.061742738,0.24848086
61,90,12,14,0.61,0.22,0.58,0.11,SR,-0.176968823,0.155364173,0.394162623,0.968421053,-0.171380334,0.145706633,0.381715382
61,91,12,14,0.72,0.16,0.64,0.15,ST,-0.51725159,0.159907082,0.399883835,0.968421053,-0.500917329,0.149967151,0.387255925
62,92,15,14,0.67,0.17,0.6,0.14,SR,-0.447925153,0.141554496,0.376237286,0.971962617,-0.435366504,0.133728136,0.365688578
